Name,Latent_feature
RID_1001007670_20190709_154342_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0081.jpg,"[ 0.529664   -0.03363292 -0.16347298 ... -0.23281048 -0.1100417
 -0.23569694]"
RID_1001000237_20190111_151100_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0057.jpg,"[ 0.5904091  -0.02227141 -0.18239322 ... -0.36970168 -0.20122011
 -0.15723594]"
RID_1001001046_20181128_132405_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0089.jpg,"[ 0.53765845  0.07628821 -0.1582498  ... -0.31753054 -0.1298998
 -0.33088455]"
RID_1001000378_20180808_153732_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0049.jpg,"[ 0.60395366 -0.1182992  -0.08139942 ... -0.3358573  -0.25219187
 -0.36460227]"
RID_1001001151_20190605_160335_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0049.jpg,"[ 0.55976695  0.2900867  -0.15467922 ... -0.23590049 -0.15309519
 -0.06538843]"
RID_1001006436_20190117_153355_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0081.jpg,"[ 0.600595   -0.02661779 -0.19300045 ... -0.1791736  -0.02561825
 -0.20407899]"
RID_1001000483_20181005_151931_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0121.jpg,"[ 0.6050748   0.07547411 -0.18651089 ... -0.47960514 -0.16821045
 -0.38435632]"
RID_1001000378_20180808_153732_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0041.jpg,"[ 0.58791494  0.09292543 -0.18068701 ... -0.38759997 -0.17074786
 -0.43223473]"
RID_1001000394_20190903_160551_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.5880395   0.4453482  -0.17612883 ... -0.47742352 -0.11858552
 -0.49406093]"
RID_1001006239_20180112_160851_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0009.jpg,"[ 0.57891417  0.10489104 -0.11029008 ... -0.39021704 -0.03612317
 -0.47383162]"
RID_1001005301_20190722_160403_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0113.jpg,"[ 0.59558266  0.03014583 -0.15601665 ... -0.45029995 -0.17311302
 -0.29264686]"
RID_1001001151_20190605_160336_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0033.jpg,"[ 0.5480329   0.19795366 -0.15040079 ... -0.3538707  -0.16272691
 -0.36537156]"
RID_1001000662_20180723_160037_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0017.jpg,"[ 0.54525614  0.3203393  -0.13656269 ... -0.42701778 -0.22856842
 -0.54842013]"
RID_1001000852_20191022_170308_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0105.jpg,"[ 0.51402897  0.15306792 -0.14834404 ... -0.5315757  -0.14775328
 -0.30954728]"
RID_1001001151_20190605_160336_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0017.jpg,"[ 0.5765594   0.2742921  -0.17883357 ... -0.37815297 -0.15643117
 -0.343309  ]"
RID_1001000177_20170803_162729_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0105.jpg,"[ 0.6041444   0.20821941 -0.13485068 ... -0.42076284 -0.07665592
 -0.50330275]"
